"id","accession number","title","who","image","when","date","numTags"
15588,"1996.563","Portrait of a Gentleman","Henry Benbridge","http://images.metmuseum.org/CRDImages/ap/original/DT57.jpg","A.D. 1600-1800","ca. 1770",1
156132,"2009.300.1419","Headdress",,"http://images.metmuseum.org/CRDImages/ci/original/31.463_CP4.jpg","A.D. 1600-1800","fourth quarter 18th century",1
156134,"2009.300.1420","Wedding headdress",,"http://images.metmuseum.org/CRDImages/ci/original/31.468_CP4.jpg","A.D. 1800-1900","late 19th century",1
156518,"2009.300.1767","Coin purse",,"http://images.metmuseum.org/CRDImages/ci/original/41.150_CP4.jpg","A.D. 1900-present","ca. 1909",1
157135,"2009.300.2322a–c","Ensemble",,"http://images.metmuseum.org/CRDImages/ci/original/31.440_31.441_31.442_front_CP4.jpg","A.D. 1800-1900","19th century",1
157146,"2009.300.2332","Cap",,"http://images.metmuseum.org/CRDImages/ci/original/35.1240_CP3.jpg","A.D. 1800-1900","1810–20",1
157612,"2009.300.2750","Orphrey",,"http://images.metmuseum.org/CRDImages/ci/original/49.216_CP4.jpg","A.D. 1000-1400","third quarter 14th century",1
15917,"2006.235.324","Portrait of Three Boys","Thomas Badger","http://images.metmuseum.org/CRDImages/ap/original/SFcs324.jpg","A.D. 1800-1900","1830s",1
16144,"36.124gg verso","Portrait of Willard Parker, 1871 (from Sketchbook)","Daniel Huntington","http://images.metmuseum.org/CRDImages/ap/original/264364.jpg","A.D. 1800-1900","ca. 1870",1
16165,"1998.326.13","Self-Portrait","Virginia Hendrickson Irvin","http://images.metmuseum.org/CRDImages/ap/original/DP105492.jpg","A.D. 1900-present","ca. 1940",1
16211,"33.176.4","Bust and Full Length Figure (from Sketchbook)","Asher Brown Durand","http://images.metmuseum.org/CRDImages/ap/original/263739.jpg",,,1
16355,"53.182.19 verso","Charles I, after Van Dyke Dismounted Equestrian Portrait; Colonel George Kitts Coussmaker, after Reynolds (from Sketchbook)","Thomas Sully","http://images.metmuseum.org/CRDImages/ap/original/266730.jpg","A.D. 1800-1900","1810–20",1
16376,"53.182.27 verso","Study of Clouds; Two Female Nudes (after Michelangelo?); Two Half-length Female Portraits; Equestrian Figure with Two Men (from Sketchbook)","Thomas Sully","http://images.metmuseum.org/CRDImages/ap/original/266438.jpg","A.D. 1800-1900","1810–20",5
16415,"1998.476","Samuel F. B. Morse","Byron M. Pickett","http://images.metmuseum.org/CRDImages/ap/original/268845.jpg","A.D. 1800-1900","ca. 1870",1
16453,"53.182.33 recto","Portrait of Girl in Flower Bower, Walking Draped Female Figure, Angel, Dead Mother and Child, Three Draped Figures (from Sketchbook)","Thomas Sully","http://images.metmuseum.org/CRDImages/ap/original/266448.jpg","A.D. 1800-1900","1810–20",1
16483,"53.182.47 verso","Portrait of [Poussin?]; Landscape Composition; Two Women; Woman and Child; Baby (from Sketchbook)","Thomas Sully","http://images.metmuseum.org/CRDImages/ap/original/266476.jpg","A.D. 1800-1900","1810–20",4
16502,"53.182.72 verso","Portrait of Seated Man; Bust of Contemplative Dante; Child Leaning on a Woman's Lap (from Sketchbook)","Thomas Sully","http://images.metmuseum.org/CRDImages/ap/original/266530.jpg","A.D. 1800-1900","1810–20",3
